Player,Rk,NHL ID,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS
Ken McRae,28,mcraeke01,25,C,9,1,1,2,1,36,1,0,0,0,1.0,0.0,0.0,11,9.1,,,-0.1,0.1,0.1
David Sacco,29,saccoda01,23,RW,4,1,1,2,-2,4,0,1,0,0,0.0,1.0,0.0,4,25.0,,,0.1,0.0,0.1
Alexei Kudashov,30,kudasal01,22,C,25,1,0,1,-3,4,1,0,0,0,0.0,0.0,0.0,24,4.2,,,-0.8,0.2,-0.6
Matt Martin,31,martima01,22,D,12,0,1,1,0,6,0,0,0,0,1.0,0.0,0.0,6,0.0,,,-0.2,0.6,0.5
Greg Smyth,32,smythgr01,27,D,11,0,1,1,-2,38,0,0,0,0,1.0,0.0,0.0,3,0.0,,,-0.1,0.5,0.3
Patrik Augusta,33,auguspa01,24,RW,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,0.0,,,-0.1,0.0,-0.1
Frank Bialowas,34,bialofr01,24,D,3,0,0,0,0,12,0,0,0,0,0.0,0.0,0.0,1,0.0,,,-0.1,0.2,0.1
Mike Foligno,35,foligmi01,35,RW,4,0,0,0,0,4,0,0,0,0,0.0,0.0,0.0,3,0.0,,,-0.2,0.1,-0.1
David Harlock,36,harloda01,22,D,6,0,0,0,-2,0,0,0,0,0,0.0,0.0,0.0,2,0.0,,,-0.1,0.2,0.1
Eric Lacroix,37,lacroer01,22,LW,3,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,3,0.0,,,-0.1,0.0,-0.1
Damian Rhodes,38,rhodeda01,24,G,22,0,0,0,0,2,0,0,0,0,,,,0,,1213.0,55:09:00,0.0,0.0,3.2
Chris Snell,39,snellch01,22,D,2,0,0,0,-1,2,0,0,0,0,0.0,0.0,0.0,4,0.0,,,0.0,0.0,0.0
